aggregator_type,best_model_path,dropout,feat_name,gpu,lr,model_path_dir,n_epochs,n_hidden,n_layers,shuffle,weight_decay,loss,acc
mean,Graph_ckpt/best_model_0_20211108-09-52,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,0.691970071,0.532331621
gcn,Graph_ckpt/best_model_0_20211110-03-50,0.5,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.759854512,0.532331621
lstm,Graph_ckpt/best_model_20211103-17-16,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.711445024,0.532331621
gcn,Graph_ckpt/best_model_0_20211107-04-14,0.7,feat-all6,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.73395695,0.532043589
gcn,Graph_ckpt/best_model_0_20211110-08-50,0.5,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.799526132,0.532043589
pool,Graph_ckpt/best_model_0_20211110-10-14,0.5,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,6.456853157,0.531899573
lstm,Graph_ckpt/best_model_0_20211105-12-48,0.2,feat-all2,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.735949471,0.531659546
mean,Graph_ckpt/best_model_0_20211105-18-05,0.2,feat-all4,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.917112268,0.531659546
mean,Graph_ckpt/best_model_0_20211105-04-57,0.7,feat-all5,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.701939819,0.531563535
gcn,Graph_ckpt/best_model_0_20211109-12-19,0.2,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,1.12531034,0.531371514
mean,Graph_ckpt/best_model_20211109-02-48,0.7,feat-all2,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,1.227128118,0.531323508
pool,Graph_ckpt/best_model_0_20211108-10-13,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,94.88449712,0.531275503
pool,Graph_ckpt/best_model_20211109-21-00,0.2,feat-all2,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,1.768548744,0.531083481
gcn,Graph_ckpt/best_model_20211107-03-17,0.7,feat-all5,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.702280121,0.53089146
lstm,Graph_ckpt/best_model_0_20211109-17-35,0.2,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.759661795,0.530603428
pool,Graph_ckpt/best_model_20211110-03-55,0.2,feat-all5,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,1.562979075,0.530603428
gcn,Graph_ckpt/best_model_0_20211109-14-49,0.2,feat-all3,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,1.859053162,0.530507417
gcn,Graph_ckpt/best_model_0_20211110-11-08,0.5,feat-all5,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.691135416,0.530315395
pool,Graph_ckpt/best_model_20211107-04-59,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,62.86189094,0.530315395
