stock,influence_jyr_date,feature,label
601360,20190812,"[0.0, 0.0, 0.14927810430526733, 0.0, 0.07470177859067917, 0.0, 0.0, 0.0, 0.0, 0.3210245668888092, 0.0378912016749382, 0.0, 0.04180005192756653, 0.0, 0.4628664553165436, 0.03273655101656914]",1
601360,20190819,"[0.0, 0.0, 0.14428384602069855, 0.0, 0.06582604348659515, 0.0, 0.0, 0.0, 0.0, 0.30051368474960327, 0.023592673242092133, 0.0, 0.05980980396270752, 0.0, 0.43851616978645325, 0.026820339262485504]",1
601360,20190827,"[0.45109692215919495, 0.0, 0.2911587059497833, 0.0, 0.1851062774658203, 0.0, 0.0, 0.0, 0.1454414278268814, 0.3984532058238983, 0.0, 0.0, 0.14319883286952972, 0.0, 0.417675644159317, 0.09445282816886902]",1
601360,20190909,"[0.0, 0.0, 0.1499534547328949, 0.0, 0.07552074640989304, 0.0, 0.0, 0.0, 0.0, 0.32176023721694946, 0.037915654480457306, 0.0, 0.04114338755607605, 0.0, 0.4650237560272217, 0.03291373327374458]",1
601360,20190916,"[0.4279431700706482, 0.0, 0.312145859003067, 0.0, 0.41214805841445923, 0.0, 0.0, 0.0, 0.0, 0.5113264322280884, 0.0, 0.0, 0.073249451816082, 0.0, 0.5215060114860535, 0.12280439585447311]",1
601360,20190919,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5536559224128723, 0.33475637435913086, 0.0, 0.0]",1
601360,20190925,"[0.0024736858904361725, 0.0, 0.13081255555152893, 0.0, 0.055293865501880646, 0.0, 0.0, 0.0, 0.0, 0.227748841047287, 0.0, 0.0, 0.10652866959571838, 0.0, 0.29153701663017273, 0.013428084552288055]",0
601360,20191010,"[0.12997682392597198, 0.0, 0.1989004909992218, 0.0, 0.48161908984184265, 0.0, 0.0, 0.0, 0.0, 0.5280399322509766, 0.0, 0.0, 0.0, 0.0, 0.3298294246196747, 0.0]",1
601360,20191011,"[0.0, 0.0, 0.14352566003799438, 0.0, 0.09956858307123184, 0.0, 0.0, 0.0, 0.0, 0.40064775943756104, 0.03704706206917763, 0.0, 0.08097857981920242, 0.0, 0.7116293907165527, 0.0]",1
601360,20191015,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4776250123977661, 0.30212700366973877, 0.0, 0.0]",0
601360,20191023,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17420268058776855, 0.0, 0.0, 0.446338415145874, 0.03913591802120209, 0.26875635981559753, 0.0]",1
601360,20200313,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4815913438796997, 0.29969125986099243, 0.0, 0.0]",0
601360,20200414,"[0.0, 0.0, 0.16630610823631287, 0.0, 0.09103711694478989, 0.0, 0.0, 0.0, 0.0, 0.3482605218887329, 0.026055123656988144, 0.0, 0.05696367472410202, 0.0, 0.4985473155975342, 0.0]",1
